year,cc,ex.rate
2009,MMK,0.000933186348823751
2010,MMK,0.00102607127374932
2011,MMK,0.00125732893857427
2012,MMK,0.00119546186466521
2013,MMK,0.00110234128289191
2014,MMK,0.00102459794350329
2015,MMK,0.000908200636457961
2016,MMK,0.000809666411779171
2017,MMK,0.000740834161829707
2018,MMK,0.000718824739494871
2019,MMK,0.000653647923920634
2020,MMK,0.00070593339551383
2021,MMK,0.000673371186331917
2022,MMK,0.000593963282458216
2023,MMK,0.000570889219132629
2024,MMK,0.000549368981998462
2025,MMK,0.000528654171005702
2026,MMK,0.00050872021213913
1980,MNT,0.337819222210448
1981,MNT,0.321573163678427
1982,MNT,0.302102416470383
1983,MNT,0.293276693080631
1984,MNT,0.263865679955439
1985,MNT,0.294126632551745
1986,MNT,0.326772258957404
1987,MNT,0.352108522559717
1988,MNT,0.333333333333333
1989,MNT,0.333333333333333
1990,MNT,0.214158686730506
1991,MNT,0.12480599613885
1992,MNT,0.027908181929033
1993,MNT,0.00338567794349187
1994,MNT,0.0024248693526069
1995,MNT,0.00222863101382355
1996,MNT,0.00182701760243355
1997,MNT,0.00126644963088633
1998,MNT,0.00118993756221156
1999,MNT,0.000978637824826997
2000,MNT,0.00092888345273458
2001,MNT,0.00091130571391751
2002,MNT,0.000900657579248497
2003,MNT,0.000872156950819519
2004,MNT,0.000843533455795428
2005,MNT,0.000829549452392147
2006,MNT,0.000847659625182493
2007,MNT,0.00085440771488808
2008,MNT,0.000857743872767738
2009,MNT,0.00069553184516223
2010,MNT,0.000736425328931522
2011,MNT,0.000790207199766809
2012,MNT,0.000735719738597183
2013,MNT,0.000656192892130275
2014,MNT,0.000550095491754416
2015,MNT,0.000507550844715791
2016,MNT,0.000466067768818024
2017,MNT,0.000409882229707673
2018,MNT,0.000405353454760419
2019,MNT,0.000375447548928619
2020,MNT,0.000355452256649679
2021,MNT,0.000343333853463284
2022,MNT,0.000329343827674327
2023,MNT,0.000316696705748491
2024,MNT,0.000304954943885186
2025,MNT,0.000293782022803397
2026,MNT,0.000283168766535633
1980,MZN,28.6645962732919
1981,MZN,28.452380952381
1982,MZN,26.536231884058
1983,MZN,24.8484848484848
1984,MZN,23.5655172413793
1985,MZN,23.1589743589744
1986,MZN,24.6558139534884
1987,MZN,3.45598845598846
1988,MZN,1.89298561151079
1989,MZN,1.25945017182131
1990,MZN,1.0726443768997
1991,MZN,0.697045280122794
1992,MZN,0.397350993377483
1993,MZN,0.258156028368794
1994,MZN,0.165630366554154
1995,MZN,0.110813909056171
1996,MZN,0.0885486018641811
1997,MZN,0.086631633870006
1998,MZN,0.0842159152721339
1999,MZN,0.0782721450182714
2000,MZN,0.0656666511865509
2001,MZN,0.0483045539948108
2002,MZN,0.0422332986162773
2003,MZN,0.0420455076079488
2004,MZN,0.0442836334515236
2005,MZN,0.0433628273659951
2006,MZN,0.0393693693693694
2007,MZN,0.0386998107778843
2008,MZN,0.0411506179475162
2009,MZN,0.0363380161407404
2010,MZN,0.0294472508386036
2011,MZN,0.0344036532651416
2012,MZN,0.0352452249413154
2013,MZN,0.0332174161492142
2014,MZN,0.0318950322893093
2015,MZN,0.025010975915705
2016,MZN,0.015858865792837
2017,MZN,0.0157270566288253
2018,MZN,0.0165760909010716
2019,MZN,0.0159876005198308
2020,MZN,0.0143959380653476
2021,MZN,0.014987977811015
2022,MZN,0.0142809666643943
2023,MZN,0.0138817370100764
2024,MZN,0.0134579022007458
2025,MZN,0.0130360834655512
2026,MZN,0.0126168107478388
1990,MRU,0.124022964653801
1991,MRU,0.122052622201105
1992,MRU,0.114892487390496
1993,MRU,0.082762019984765
1994,MRU,0.0809270200549222
1995,MRU,0.0770704391394047
1996,MRU,0.0728714495676248
1997,MRU,0.0658530383930842
1998,MRU,0.0529173737110038
1999,MRU,0.0477312055373967
2000,MRU,0.0418656066984971
2001,MRU,0.039118161043151
2002,MRU,0.0367985090080762
2003,MRU,0.0380159774610295
2004,MRU,0.0376804658211693
2005,MRU,0.0376501968428207
2006,MRU,0.0380794072948328
2007,MRU,0.0385097920578003
2008,MRU,0.0414291358582153
2009,MRU,0.038198795424229
2010,MRU,0.0362981899199598
2011,MRU,0.0356635781369961
2012,MRU,0.0336770689275049
2013,MRU,0.0337546331468564
2014,MRU,0.0331457662108602
2015,MRU,0.030875882150224
2016,MRU,0.0284468650348379
2017,MRU,0.0280435648933679
2018,MRU,0.0280230253125953
2019,MRU,0.0272525027808676
2020,MRU,0.0275485836766999
2021,MRU,0.0272705630282109
2022,MRU,0.027049265822198
2023,MRU,0.0265545708487655
2024,MRU,0.0260125324774568
2025,MRU,0.0254899210709588
2026,MRU,0.0249754378832537
1980,MUR,0.130125345230508
1981,MUR,0.111859190151005
1982,MUR,0.0919729685182133
1983,MUR,0.0854416654619054
1984,MUR,0.072493539195547
1985,MUR,0.0647330565464008
1986,MUR,0.0745115629984051
1987,MUR,0.077636057909199
1988,MUR,0.074433108497441
1989,MUR,0.0655737704918033
1990,MUR,0.067276614787927
1991,MUR,0.0638868620970857
1992,MUR,0.0642453282223287
1993,MUR,0.0566569915219495
1994,MUR,0.0556749223309428
1995,MUR,0.0575157905794913
1996,MUR,0.0557216501187269
1997,MUR,0.0474914296561813
1998,MUR,0.0416820289911319
1999,MUR,0.0397090106888673
2000,MUR,0.0380938223696564
2001,MUR,0.0343269648748993
2002,MUR,0.0333749281993384
2003,MUR,0.0358380002006409
2004,MUR,0.0363637326161877
2005,MUR,0.0339011038499645
2006,MUR,0.0315385650827837
2007,MUR,0.0319343601960731
2008,MUR,0.0351446241741541
2009,MUR,0.0312898449389216
2010,MUR,0.0324850547316671
2011,MUR,0.0348347331141671
2012,MUR,0.0332787670685938
2013,MUR,0.032572765086722
2014,MUR,0.0326555493773944
2015,MUR,0.0285245173740464
2016,MUR,0.028134739456948
2017,MUR,0.02900037401493
2018,MUR,0.0294687235068238
2019,MUR,0.0281893660704072
2020,MUR,0.0254158792809734
2021,MUR,0.024087202770094
2022,MUR,0.0232799080800016
2023,MUR,0.0239452428637454
2024,MUR,0.0246512470559816
2025,MUR,0.0252791308519895
2026,MUR,0.0258248562515058
1980,MWK,1.23145884270579
1981,MWK,1.11719038817006
1982,MWK,0.947385728378823
1983,MWK,0.850954687945284
1984,MWK,0.707363876229312
1985,MWK,0.581596125500105
1986,MWK,0.537271710771524
1987,MWK,0.452715654952077
1988,MWK,0.390413421210306
1989,MWK,0.362332975714425
1990,MWK,0.366429439333449
1991,MWK,0.356716615833444
1992,MWK,0.277539161192522
1993,MWK,0.227144076553304
1994,MWK,0.114479956239744
1995,MWK,0.0654291631510317
1996,MWK,0.0653201496651301
1997,MWK,0.0608259763579231
1998,MWK,0.0321888412017167
1999,MWK,0.0226817390030706
2000,MWK,0.0167948207092725
2001,MWK,0.0138509481501127
2002,MWK,0.0130406214563529
2003,MWK,0.0102691885728304
2004,MWK,0.00918355477676176
2005,MWK,0.00844536677794821
2006,MWK,0.00735323888622593
2007,MWK,0.00714323327464587
2008,MWK,0.00711632899248663
2009,MWK,0.00708858496469116
2010,MWK,0.00664293222120503
2011,MWK,0.00637291863912873
2012,MWK,0.00398261478216454
2013,MWK,0.00270088923105175
2014,MWK,0.00235647242214189
2015,MWK,0.00200152323601054
2016,MWK,0.00139281385141038
2017,MWK,0.00136926944736205
2018,MWK,0.00136568296586207
2019,MWK,0.00134199529188489
2020,MWK,0.00134390732518542
2021,MWK,0.00124313462278282
2022,MWK,0.00110319483681297
2023,MWK,0.000978144064013755
2024,MWK,0.000890494354661167
2025,MWK,0.000822456436599413
2026,MWK,0.000769344098241298
1980,MYR,0.459387071851661
1981,MYR,0.434018014583234
1982,MYR,0.428197440585009
1983,MYR,0.430809914745816
1984,MYR,0.426689523458892
1985,MYR,0.40274085888121
1986,MYR,0.387382550335571
1987,MYR,0.396885057471264
1988,MYR,0.381856156919724
1989,MYR,0.369165087069744
1990,MYR,0.369701333667272
1991,MYR,0.363625244618395
1992,MYR,0.39256117773228
1993,MYR,0.388486907002661
1994,MYR,0.381060869401828
1995,MYR,0.399296742481459
1996,MYR,0.397466238221373
1997,MYR,0.355467655434421
1998,MYR,0.254818632694739
1999,MYR,0.263157412721478
2000,MYR,0.263156674429628
2001,MYR,0.263157346499794
2002,MYR,0.263156885906169
2003,MYR,0.263157894736842
2004,MYR,0.263157996676364
2005,MYR,0.264054544400751
2006,MYR,0.272615581506959
2007,MYR,0.290902699057267
2008,MYR,0.29977556790001
2009,MYR,0.283728349129947
2010,MYR,0.310454637116134
2011,MYR,0.326796692927862
2012,MYR,0.323750392112474
2013,MYR,0.317367315529141
2014,MYR,0.305542881585514
2015,MYR,0.2560495862151
2016,MYR,0.241061854845163
2017,MYR,0.232534194168956
2018,MYR,0.247823534287451
2019,MYR,0.241401438050173
2020,MYR,0.237897515900636
2021,MYR,0.246060919494503
2022,MYR,0.24906609583086
2023,MYR,0.252423371014301
2024,MYR,0.253963669568519
2025,MYR,0.255338483159495
2026,MYR,0.256257703380366
1990,NAD,0.386437908496732
1991,NAD,0.362182741116751
1992,NAD,0.350709797533163
1993,NAD,0.306087877183695
1994,NAD,0.281755996190146
1995,NAD,0.275696521328506
1996,NAD,0.232762640730131
1997,NAD,0.217074626865672
1998,NAD,0.180749985944791
1999,NAD,0.16360471862309
2000,NAD,0.14417901644179
2001,NAD,0.116248608291309
2002,NAD,0.0950889077053345
2003,NAD,0.132203935023857
2004,NAD,0.155041120925982
